ZIP,COUNTYNAME
35576,Lamar County
35586,Lamar County
35592,Lamar County
35610,Lauderdale County
35614,Lauderdale County
35617,Lauderdale County
35630,Lauderdale County
35632,Lauderdale County
35633,Lauderdale County
35634,Lauderdale County
35645,Lauderdale County
35648,Lauderdale County
35652,Lauderdale County
35677,Lauderdale County
35603,Lawrence County
35618,Lawrence County
35619,Lawrence County
35643,Lawrence County
35650,Lawrence County
35651,Lawrence County
35654,Lawrence County
35672,Lawrence County
35673,Lawrence County
36801,Lee County
36804,Lee County
36830,Lee County
36832,Lee County
36849,Lee County
36850,Lee County
36852,Lee County
36854,Lee County
36862,Lee County
36865,Lee County
36866,Lee County
36867,Lee County
36870,Lee County
36874,Lee County
36877,Lee County
36879,Lee County
35610,Limestone County
35611,Limestone County
35613,Limestone County
35614,Limestone County
35615,Limestone County
35620,Limestone County
35647,Limestone County
35649,Limestone County
35652,Limestone County
35671,Limestone County
35739,Limestone County
35742,Limestone County
35749,Limestone County
35756,Limestone County
35757,Limestone County
35758,Limestone County
35773,Limestone County
36032,Lowndes County
36040,Lowndes County
36043,Lowndes County
36047,Lowndes County
36701,Lowndes County
36752,Lowndes County
36761,Lowndes County
36775,Lowndes County
36785,Lowndes County
36013,Macon County
36029,Macon County
36039,Macon County
36075,Macon County
36078,Macon County
36083,Macon County
36087,Macon County
36088,Macon County
36089,Macon County
36804,Macon County
36830,Macon County
36832,Macon County
36860,Macon County
36866,Macon County
35739,Madison County
35741,Madison County
35748,Madison County
35749,Madison County
35750,Madison County
35756,Madison County
35757,Madison County
35758,Madison County
35759,Madison County
35760,Madison County
35761,Madison County
35762,Madison County
35763,Madison County
35767,Madison County
35773,Madison County
35776,Madison County
35801,Madison County
35802,Madison County
35803,Madison County
35805,Madison County
35806,Madison County
35808,Madison County
35809,Madison County
35810,Madison County
35811,Madison County
35812,Madison County
35813,Madison County
35816,Madison County
35824,Madison County
35893,Madison County
35894,Madison County
35895,Madison County
35896,Madison County
35897,Madison County
35898,Madison County
35899,Madison County
36728,Marengo County
36732,Marengo County
36736,Marengo County
36738,Marengo County
36742,Marengo County
36745,Marengo County
36748,Marengo County
36754,Marengo County
36763,Marengo County
36764,Marengo County
36769,Marengo County
36773,Marengo County
36782,Marengo County
36783,Marengo County
36784,Marengo County
36786,Marengo County
35543,Marion County
35548,Marion County
35552,Marion County
35554,Marion County
35563,Marion County
35564,Marion County
35565,Marion County
35570,Marion County
35571,Marion County
35581,Marion County
35593,Marion County
35594,Marion County
35016,Marshall County
35087,Marshall County
35175,Marshall County
35747,Marshall County
35754,Marshall County
35755,Marshall County
35760,Marshall County
35769,Marshall County
35776,Marshall County
35950,Marshall County
35951,Marshall County
35952,Marshall County
35956,Marshall County
35957,Marshall County
35962,Marshall County
